charform,frequency,perMILL,zipf,CD_N,CD_percent,CD_log
的,2240540,47998.34719822760,7.681226282895420,5175,1.0,3.7139103541289600
是,1674284,35867.63224063720,7.554702708185130,5175,1.0,3.7139103541289600
我,1298546,27818.321369343900,7.4443309199757200,5175,1.0,3.7139103541289600
就,1074976,23028.85522140290,7.3622723494542500,5175,1.0,3.7139103541289600
了,576746,12355.438757259000,7.09185817235834,5175,1.0,3.7139103541289600
你,599820,12849.7454258531,7.108894523679580,5174,0.9998067632850240,3.7138264243805200
他,563838,12078.914943520000,7.082027923092500,5175,1.0,3.7139103541289600
们,423351,9069.308418826210,6.9575741711462200,5175,1.0,3.7139103541289600
不,518464,11106.882752274900,7.045592187343510,5175,1.0,3.7139103541289600
一,1105211,23676.569623974700,7.374318779921760,5175,1.0,3.7139103541289600
个,1220316,26142.42595961350,7.417345886687030,5175,1.0,3.7139103541289600
会,290604,6225.51335356376,6.794175169009170,5175,1.0,3.7139103541289600
也,296881,6359.983447988890,6.803455985387970,5175,1.0,3.7139103541289600
有,625536,13400.650786413300,7.127125889863710,5175,1.0,3.7139103541289600
她,68020,1457.1699574314400,6.163510208784370,3355,0.6483091787439610,3.525692524505010
说,456227,9773.600090695010,6.99005456489907,5175,1.0,3.7139103541289600
在,499304,10696.42441084020,7.029238626455610,5175,1.0,3.7139103541289600
很,285192,6109.573867976890,6.786010920023230,5174,0.9998067632850240,3.7138264243805200
然,353799,7579.318932215330,6.879630182245550,5175,1.0,3.7139103541289600
后,425416,9113.546230677070,6.959687400983430,5175,1.0,3.7139103541289600
这,992312,21257.971696540900,7.327521824485360,5175,1.0,3.7139103541289600
要,250856,5374.005099109410,6.730298074176430,5174,0.9998067632850240,3.7138264243805200
医,11424,244.73257268004700,5.3886917756197600,1679,0.3244444444444440,3.225050696138050
生,123404,2643.6430671401000,6.422202818273650,5174,0.9998067632850240,3.7138264243805200
可,261972,5612.139489682890,6.749128456876400,5175,1.0,3.7139103541289600
能,276620,5925.938747790150,6.772757158174370,5175,1.0,3.7139103541289600
都,213119,4565.577832370360,6.659495750879910,5174,0.9998067632850240,3.7138264243805200
那,539518,11557.915629131100,7.062879519864180,5175,1.0,3.7139103541289600
去,252846,5416.636210771990,6.733729668712610,5174,0.9998067632850240,3.7138264243805200
其,213004,4563.114225414980,6.6592613403147400,5175,1.0,3.7139103541289600
实,247462,5301.296559922080,6.724382099781080,5175,1.0,3.7139103541289600
因,175025,3749.502672735050,6.573973667511650,5175,1.0,3.7139103541289600
为,270114,5786.562862123440,6.762420675427610,5175,1.0,3.7139103541289600
但,190110,4072.663637272740,6.6098785430325700,5175,1.0,3.7139103541289600
对,218505,4680.96032855862,6.67033496046923,5174,0.9998067632850240,3.7138264243805200
觉,269647,5776.558475617700,6.761669174027340,5172,0.9994202898550730,3.7136585162083600
得,300911,6446.316804772900,6.8093116451390500,5175,1.0,3.7139103541289600
时,291412,6242.822870258920,6.795381012720740,5175,1.0,3.7139103541289600
候,159713,3421.4787622941500,6.5342138486003200,5174,0.9998067632850240,3.7138264243805200
女,55789,1195.1492907254200,6.077422158077970,4077,0.7878260869565220,3.6103407114521600
性,68825,1474.4152061190700,6.168619801253030,5045,0.9748792270531400,3.7028611705729300
甚,18642,399.3613988008960,5.601366084826280,4630,0.8946859903381640,3.6655809910179500
至,28419,608.810835346136,5.7844823732125200,5000,0.966183574879227,3.6989700043360200
好,219609,4704.610955330220,6.672523715555170,5175,1.0,3.7139103541289600
做,139409,2986.5128873207900,6.475164393143100,5169,0.998840579710145,3.713406532167690
非,105355,2256.9853111612700,6.353528732625670,5170,0.9990338164251210,3.7134905430939400
常,128076,2743.729777535860,6.438341336661570,5175,1.0,3.7139103541289600
没,178511,3824.1820974866800,6.582538564056660,5175,1.0,3.7139103541289600
和,95350,2042.651506043640,6.31019427856969,5155,0.996135265700483,3.7122286696195400
孩,24589,526.7620123975560,5.721614448140580,3625,0.7004830917874400,3.5593080109070100
子,106590,2283.4423075950800,6.358590043396660,5170,0.9990338164251210,3.7134905430939400
到,289083,6192.9294737452800,6.791896134209850,5175,1.0,3.7139103541289600
病,9603,205.7218921084110,5.31328051005146,2254,0.43555555555555600,3.3529539117100900
人,350117,7500.440664304970,6.8750867797189000,5175,1.0,3.7139103541289600
或,81764,1751.6031226025400,6.243435710742420,5155,0.996135265700483,3.7122286696195400
者,104040,2228.8145011932900,6.348073924711500,5165,0.9980676328502420,3.7130703258556400
么,323980,6940.516360021150,6.841391782265480,5175,1.0,3.7139103541289600
年,136778,2930.1498447156400,6.466889830275320,5163,0.9976811594202900,3.7129021250472200
大,242819,5201.831106932450,6.716156247414250,5175,1.0,3.7139103541289600
多,204126,4372.923768460020,6.640771906518030,5174,0.9998067632850240,3.7138264243805200
想,153064,3279.039434935110,6.515746639686060,5173,0.9996135265700480,3.7137424784090800
它,150356,3221.026846803320,6.507994344617880,5081,0.9818357487922710,3.705949194910300
还,202454,4337.105065595790,6.6371999429824700,5174,0.9998067632850240,3.7138264243805200
问,72900,1561.7125830160600,6.19360110950564,5126,0.9905314009661840,3.709778601848230
题,66583,1426.385581823840,6.154236940258440,5124,0.9901449275362320,3.7096091210726500
更,68146,1459.8692137477700,6.164313950105080,5136,0.9924637681159420,3.710625015060800
样,171248,3668.589251252860,6.564499089270170,5173,0.9996135265700480,3.7137424784090800
当,139397,2986.2558152906600,6.475127008482900,5174,0.9998067632850240,3.7138264243805200
跟,121171,2595.8062468674700,6.414272273237500,5173,0.9996135265700480,3.7137424784090800
把,80763,1730.1590307561800,6.238086023941280,5172,0.9994202898550730,3.7136585162083600
