wordform,frequency,word_length,perMILL,zipf,CD_N,CD_percent,CD_log,pos,pos_freq,dom_pos,dom_pos_freq
的,2163126,1,69315.00131508181,7.840827235814057,5175,1.0,3.7139103541289553,"['a', 'c', 'd', 'n', 'nh', 'ns', 'u', 'z']","[1, 1, 52, 1, 2, 1, 2163067, 1]",u,2163067
是,1123067,1,35987.45083824289,7.556151084605293,5175,1.0,3.7139103541289553,"['c', 'i', 'n', 'nh', 'ns', 'nt', 'r', 'u', 'v']","[17, 59, 56, 4, 2, 1, 320, 51, 1122557]",v,1122557
我,1025155,1,32849.96813554213,7.516534952630505,5175,1.0,3.7139103541289553,"['i', 'j', 'n', 'nh', 'nt', 'nz', 'p', 'r', 'v']","[20, 1, 119, 87, 78, 2, 2, 1021791, 3055]",r,1021791
就,757839,1,24284.119964172354,7.385322369632035,5175,1.0,3.7139103541289553,"['b', 'c', 'd', 'i', 'n', 'nh', 'ns', 'nt', 'p', 'u', 'v']","[1, 5642, 694005, 59, 59, 33, 16, 42, 25390, 5, 32587]",d,694005
你,569226,1,18240.2231486186,7.261030147129508,5174,0.9998067632850242,3.713826424380525,"['i', 'n', 'r', 'v']","[242, 20, 568354, 610]",r,568354
了,546093,1,17498.951523469725,7.243012028045571,5175,1.0,3.7139103541289553,"['a', 'i', 'n', 'u', 'v']","[3, 1, 2, 539324, 6763]",u,539324
他,448477,1,14370.953816275123,7.157485593701243,5174,0.9998067632850242,3.713826424380525,"['n', 'nh', 'r', 'v']","[1, 18, 448316, 142]",r,448316
这个,447246,2,14331.507770774831,7.1562918834943945,5175,1.0,3.7139103541289553,"['d', 'i', 'm', 'n', 'nt', 'r', 'u', 'v']","[2, 2, 26, 16, 1, 447150, 1, 48]",r,447150
一个,410270,2,13146.652386194151,7.118815179799984,5175,1.0,3.7139103541289553,"['b', 'i', 'm']","[1, 1, 410268]",m,410268
在,392354,1,12572.5538068414,7.099423502949898,5175,1.0,3.7139103541289553,"['a', 'b', 'd', 'i', 'n', 'nh', 'ns', 'p', 'u', 'v', 'z']","[16, 2, 61239, 6, 15, 7, 2, 293281, 244, 37541, 1]",p,293281
不,362391,1,11612.42231916856,7.064922821815968,5175,1.0,3.7139103541289553,"['a', 'b', 'c', 'd', 'i', 'm', 'n', 'nh', 'ns', 'u', 'v']","[1113, 1, 72, 360173, 138, 165, 22, 1, 2, 7, 697]",d,360173
有,316977,1,10157.180474854766,7.0067731691535,5175,1.0,3.7139103541289553,"['a', 'b', 'd', 'i', 'j', 'm', 'n', 'nh', 'nt', 'p', 'r', 'v']","[409, 5, 494, 83, 1, 5, 13, 2, 2, 72, 1506, 314385]",v,314385
说,315272,1,10102.545618983117,7.004430820216186,5175,1.0,3.7139103541289553,"['i', 'n', 'nh', 'v']","[354, 294, 2, 314622]",v,314622
一,285313,1,9142.542306925228,6.961066978703455,5175,1.0,3.7139103541289553,"['a', 'b', 'c', 'd', 'i', 'j', 'm', 'n', 'nd', 'nh', 'nl', 'ns', 'nt', 'nz', 'u', 'v']","[53, 59, 62, 21993, 197, 13, 262284, 352, 164, 21, 53, 4, 38, 5, 6, 9]",m,262284
然后,281840,2,9031.253829246498,6.955748048577295,5170,0.9990338164251208,3.7134905430939424,"['c', 'd', 'm', 'nd', 'v']","[281829, 5, 1, 4, 1]",c,281829
就是,281410,2,9017.47495063957,6.955084944579076,5174,0.9998067632850242,3.713826424380525,"['c', 'd', 'i', 'n', 'p', 'r', 'v']","[17943, 242833, 1, 11, 2, 1, 20619]",d,242833
也,280406,1,8985.302871287586,6.953532720633868,5175,1.0,3.7139103541289553,"['c', 'd', 'i', 'j', 'n', 'nh', 'ns', 'u', 'v']","[4, 279824, 19, 1, 6, 4, 4, 530, 14]",d,279824
我们,263737,2,8451.163039894916,6.926916480198358,5170,0.9990338164251208,3.7134905430939424,"['n', 'r', 'v']","[9, 263714, 14]",r,263714
会,242839,1,7781.509539598318,6.891063854203702,5175,1.0,3.7139103541289553,"['i', 'j', 'n', 'nh', 'nl', 'ns', 'nt', 'p', 'q', 'v']","[4, 1, 1723, 5, 1, 5, 16, 1, 29, 241054]",v,241054
这,232126,1,7438.223198863441,6.871469206098833,5175,1.0,3.7139103541289553,"['c', 'i', 'm', 'n', 'nt', 'r', 'v']","[9, 2, 12, 3, 1, 232098, 1]",r,232098
觉得,215131,2,6893.637054852497,6.83844841437449,5167,0.9984541062801932,3.7132384615456617,"['n', 'v']","[73, 215058]",v,215058
都,206870,1,6628.922366080836,6.821442932853685,5174,0.9998067632850242,3.713826424380525,"['b', 'd', 'i', 'n', 'nh', 'ns', 'nz', 'p', 'u', 'v']","[1, 206565, 1, 179, 17, 29, 1, 2, 37, 38]",d,206565
去,199742,1,6400.513420243236,6.806214812520645,5174,0.9998067632850242,3.713826424380525,"['m', 'n', 'nd', 'nt', 'u', 'v']","[1, 2, 1, 21, 3, 199714]",v,199714
很,198801,1,6370.360106826685,6.804163983039798,5174,0.9998067632850242,3.713826424380525,"['a', 'b', 'd', 'i', 'j', 'm', 'n', 'nh', 'ns', 'nt', 'p', 'r', 'u', 'v']","[3, 2, 195539, 12, 4, 2417, 13, 60, 9, 6, 4, 4, 2, 726]",d,195539
那,192629,1,6172.585132961693,6.790467088481738,5175,1.0,3.7139103541289553,"['c', 'd', 'i', 'j', 'n', 'nh', 'ns', 'nt', 'nz', 'p', 'r', 'u', 'v']","[78162, 217, 3, 2, 2, 66, 17, 34, 9, 1, 114065, 44, 7]",r,114065
